ID,Putative_Species,S1_Angle_deg,S1_Length_cm,S1_Width_cm,S1_MP_Width_cm,S1_Length_to_Caudate_Appendage_cm,S1_Inner_Outer_Ratio,S1_Tip_Shape,S2_Angle_deg,Sepal_2_Length_cm,S2_Width_cm,S2_MP_Width_cm,S2_Length_to_Caudate_Appendage_cm,S2_Inner_Outer_Ratio,S2_Tip_Shape,S3_Angle_deg,S3_Length_cm,S3_Width_cm,S3_MP_Width_cm,S3_Length_to_Caudate_Appendage_cm,S3_Inner_Outer_Ratio,S3_Tip_Shape,Overall_Sepal_Orientation,Calyx_Ad_Pub,Calyx_Ab_Pub,Tube_Color,Rudimentary_Petals,Style_Tube_Shape,Pedicle_Width_mm,Pedicle_Length_cm,Tube_Length,Stamen_Length_cm,Dist_to_Gyn_Center_cm,Gyn_Height_cm,Gyn_Width_mm,Avg_Leaf_Length_cm,Avg_Leaf_Width_cm,Adaxial_Leaf_Pubescence,Abaxial_Leaf_Pubescence,Leaf_Shape
Pop46_Ind3,reflexum,123,1.36,0.96,0.69,1.08,1.00,Abrupt,205,1.27,0.98,0.77,1.1,1.00,Abrupt,107,1.28,1,0.81,1.02,1.00,Abrupt,Slight Incurve,Prominent,To Lobes,At Tube,Zero,Fluted,2.27,2.59,2.08,0.43,0.56,0.63,0.33,9.91,12.15,Margins,Entire,Chordate
Pop46_Ind4,reflexum,192,1.07,0.76,0.58,0.87,1.00,Abrupt,214,1.06,0.85,0.59,0.84,1.00,Abrupt,176,1.09,0.9,0.63,0.87,1.00,Abrupt,Intermediate,Prominent,Entire,At Tube,Zero,Fluted,1.98,2.68,1.76,0.46,0.5,0.41,0.26,8.37,9.63,Margins,Entire,Reniform-Chordate
Pop47_Ind1,reflexum,96,1.21,1.05,0.68,1.03,1.00,Abrupt,97,1.34,1.05,0.73,1.05,1.00,Abrupt,105,1.29,1.06,0.9,0.98,1.00,Abrupt,Closed,Sparse,To Tube,At Tube,Zero,Fluted,2.38,2.8,2.04,0.47,0.53,0.54,0.32,10.1,12.19,Margins,Entire,Reniform-Chordate
Pop47_Ind2,reflexum,269,1.2,0.91,0.55,0.75,1.00,Abrupt,195,1.15,0.99,0.5,0.78,1.00,Abrupt,239,1.17,0.93,0.67,0.72,1.00,Abrupt,Slight Reflex,Prominent,To Tube,At Tube,Zero,Fluted,2.25,3.83,2.12,0.23,0.56,0.68,0.35,11.58,15.56,Margins,Entire,Chordate
Pop47_Ind3,reflexum,223,1.36,1.01,0.46,0.95,1.00,Abrupt,237,1.25,1.08,0.56,0.82,1.00,Abrupt,214,1.29,1.08,0.63,0.94,1.00,Abrupt,Reflexed,Prominent,Entire,At Tube,Zero,Fluted,2.27,2.88,2.19,0.38,0.57,0.6,0.4,10.69,13.2,Margins,Entire,Reniform-Chordate
Pop48_Ind1,reflexum,212,0.83,0.81,0.55,0.62,1.00,Abrupt,152,0.9,0.89,0.45,0.74,0.93,Abrupt,154,0.96,0.92,0.71,0.69,1.00,Abrupt,Intermediate,Prominent,Entire,At Tube,Zero,Fluted,1.73,2.28,1.61,0.36,0.53,0.61,0.24,9.09,11.1,Margins,Entire,Reniform-Chordate
Pop48_Ind2,reflexum,,,,,,,,263,1.25,0.82,0.66,0.84,1.00,Abrupt,244,1.42,1.05,0.54,1.02,1.00,Abrupt,Reflexed,Prominent,Entire,At Tube,Zero,Fluted,2.26,3.36,1.92,0.44,0.57,0.55,0.23,9.38,12.76,Margins,Entire,Chordate
Pop48_Ind3,reflexum,195,1.38,1.02,0.54,0.88,0.94,Abrupt,237,1.33,1.03,0.67,0.93,1.00,Abrupt,246,1.44,1.07,0.57,0.82,0.88,Abrupt,Reflexed,Prominent,To Tube,At Tube,Two,Fluted,2.19,3.37,2.08,0.46,0.6,0.62,0.48,10.72,13.84,Margins,Entire,Reniform-Chordate
Pop49_Ind1,reflexum,,,,,,,,231,1.31,0.98,0.64,0.84,1.00,Abrupt,148,1.22,1.03,0.58,0.88,1.00,Abrupt,Intermediate,Prominent,To Tube,At Tube,Zero,Flat,2.09,2.7,1.98,0.48,0.52,0.5,0.26,9.4,11.45,Margins,Entire,Reniform
Pop49_Ind2,reflexum,253,1.18,0.82,0.49,0.89,1.00,Abrupt,259,1.06,0.9,0.67,0.8,1.00,Abrupt,264,1.15,0.92,0.53,0.9,1.00,Abrupt,Reflexed,Prominent,To Tube,At Tube,Zero,Flat,2.01,3.42,1.96,0.57,0.48,0.49,0.25,8.56,10.01,Even,Entire,Chordate
Pop49_Ind3,reflexum,267,1.04,0.8,0.49,0.85,1.00,Abrupt,251,1.05,0.82,0.54,0.78,1.00,Abrupt,253,1,0.91,0.54,0.78,1.00,Abrupt,Reflexed,Prominent,To Tube,At Tube,Zero,Flat,1.64,2.18,1.47,0.33,0.38,0.4,0.22,6.68,9.34,Even,Entire,Reniform
Pop50_Ind1,reflexum,139,1.53,0.92,0.56,1.05,1.00,Abrupt,150,1.47,0.89,0.44,0.9,0.90,Abrupt,248,1.56,0.97,0.67,1.04,1.00,Abrupt,Intermediate,Prominent,To Tube,At Tube,Zero,Fluted,2.09,3.84,2.14,0.62,0.56,0.55,0.31,10.92,14.05,Margins,Entire,Chordate
Pop50_Ind2,reflexum,260,1.2,0.74,0.47,0.72,1.00,Abrupt,232,1.14,0.8,0.53,0.74,1.00,Abrupt,247,1.12,0.81,0.54,0.77,1.00,Abrupt,Reflexed,Prominent,Entire,At Tube,Zero,Fluted,1.67,2.83,1.57,0.39,0.38,0.37,0.24,8.09,10.97,Margins,Entire,Reniform-Chordate
Pop50_Ind3,reflexum,169,1.56,0.89,0.53,1.08,1.00,Abrupt,173,1.44,0.9,0.59,0.92,1.00,Abrupt,236,1.59,0.95,0.58,1.02,1.00,Abrupt,Slight Incurve,Prominent,To Tube,At Tube,Three,Fluted,2.36,2.86,2.07,0.54,0.61,0.63,0.35,10.64,13.44,Margins,Entire,Chordate
Pop51_Ind4,reflexum,259,0.8,0.72,0.54,0.65,1.00,Abrupt,197,0.84,0.71,0.52,0.66,1.00,Abrupt,217,0.85,0.76,0.54,0.71,1.00,Abrupt,Slight Reflex,,,,Zero,Flat,1.68,3.12,1.69,0.38,0.41,0.34,0.21,7.49,9.42,Even,Entire,Reniform-Chordate
Pop52_Ind1,reflexum,241,1.16,0.97,0.68,0.8,1.00,Abrupt,258,1.11,0.88,0.56,0.82,1.00,Abrupt,223,1.21,0.93,0.64,0.78,1.00,Abrupt,Reflexed,,,,Zero,Fluted,1.98,4.23,1.84,0.47,0.38,0.4,0.27,7.89,10.33,Even,Entire,Reniform
Pop52_Ind2,reflexum,258,1.26,0.92,0.51,0.81,1.00,Abrupt,243,1.16,0.94,0.62,0.71,1.00,Abrupt,226,1.21,0.94,0.53,0.73,1.00,Abrupt,Reflexed,Prominent,Entire,At Tube,Zero,Fluted,1.87,3.01,1.75,0.49,0.49,0.57,0.36,6.69,10.18,Even,Entire,Reniform-Chordate
Pop52_Ind3,reflexum,219,1.17,0.93,0.65,0.69,1.00,Abrupt,,,,,,,,237,1.19,0.9,0.51,0.72,1.00,Abrupt,Reflexed,Prominent,Entire,At Tube,Zero,Fluted,1.86,2.85,1.77,0.54,0.52,0.54,0.35,6.94,9.29,Even,Entire,Chordate
Pop53_Ind1,reflexum,254,1.57,0.79,0.49,0.88,1.00,Intermediate,266,1.7,0.84,0.46,0.94,1.00,Intermediate,265,1.46,0.81,0.39,0.84,1.00,Intermediate,Reflexed,Prominent,Entire,At Tube,Zero,Fluted,2.11,2.27,2.1,0.65,0.61,0.56,0.33,9.59,12.1,Margins,Entire,Reniform-Chordate
Pop53_Ind2,reflexum,208,1.48,0.89,0.5,0.97,1.00,Intermediate,210,1.53,0.94,0.58,1.12,1.00,Intermediate,,,,,,,,Slight Reflex,Prominent,Entire,At Tube,Three,Fluted,2.21,3.06,2.12,0.53,0.61,0.54,0.3,11,12.82,Margins,Entire,Chordate
Pop53_Ind3,reflexum,259,1.45,0.87,0.34,0.99,0.95,Intermediate,97,1.52,0.82,0.39,1.1,0.61,Intermediate,267,1.59,0.79,0.49,1.02,1.00,Intermediate,Intermediate,Prominent,To Tube,At Tube,Zero,Fluted,1.72,1.08,1.53,0.63,0.35,0.58,0.2,8.59,10.71,Margins,Entire,
Pop55_Ind1,canadense,190,1.26,0.9,0.33,0.65,1.00,Intermediate,254,1.26,0.88,0.23,0.64,0.75,Intermediate,233,1.4,1.02,0.32,0.78,1.00,Intermediate,Reflexed,Prominent,Entire,At Tube,Three,Fluted,1.86,2.91,2.21,0.69,0.49,0.46,0.26,11.29,13.65,Even,Entire,Chordate
Pop55_Ind2,canadense,155,1.43,1.14,0.21,0.76,0.55,Intermediate,131,1.3,1.08,0.35,0.79,0.62,Intermediate,157,1.38,1.03,0.31,0.84,0.68,Intermediate,Slight Incurve,Prominent,Entire,At Tube,Three,Fluted,1.73,2.09,2.32,0.51,0.54,0.52,0.36,11.16,12.84,Even,Entire,Chordate
Pop55_Ind3,canadense,177,1.23,0.93,0.22,0.62,0.39,Intermediate,180,1.26,0.92,0.2,0.64,0.63,Intermediate,179,1.21,0.96,0.23,0.71,0.10,Intermediate,Flat,Tapering,To Lobes,One-Third,Three,Fluted,1.53,1.62,1.81,0.7,0.45,0.47,0.26,6.93,8.88,Even,Entire,Chordate
Pop56_Ind3,canadense,97,1.58,0.95,0.38,0.92,0.67,Intermediate,266,1.52,0.94,0.48,0.95,1.00,Intermediate,124,1.36,0.95,0.62,1.03,1.00,Intermediate,Intermediate,,,,One,Fluted,1.32,3.32,1.37,0.44,0.51,0.48,0.26,7.97,10.76,Even,Entire,Reniform-Chordate
Pop57_Ind1,reflexum,241,1.31,0.82,0.51,0.94,1.00,Abrupt,267,1.45,0.89,0.58,1,1.00,Abrupt,250,1.31,0.84,0.49,0.93,1.00,Abrupt,Reflexed,,,,One,Fluted,1.53,3.16,1.59,0.53,0.43,0.4,0.24,10,12.85,Margins,Entire,Reniform
Pop57_Ind2,reflexum,259,1.29,0.89,0.5,0.94,1.00,Abrupt,258,1.31,0.87,0.55,1.02,1.00,Abrupt,266,1.33,0.83,0.49,0.99,1.00,Abrupt,Reflexed,Prominent,To Tube,At Tube,Zero,Fluted,1.48,2.48,1.31,0.46,0.38,0.36,0.23,10.28,12.71,Margins,Entire,Chordate
Pop58_Ind1,reflexum,182,1.6,0.9,0.42,1.01,1.00,Intermediate,233,1.41,0.93,0.52,0.76,1.00,Intermediate,197,1.52,0.98,0.61,0.93,1.00,Intermediate,Intermediate,Prominent,To Tube,At Tube,Zero,Flat,2.28,2.3,2.16,0.52,0.53,0.54,0.3,11.6,12.98,Margins,Entire,Chordate
Pop58_Ind2,reflexum,276,1.4,0.87,0.58,0.91,1.00,Abrupt,238,1.31,0.82,0.59,0.94,1.00,Abrupt,261,1.41,0.92,0.57,0.9,1.00,Intermediate,Reflexed,Prominent,To Lobes,At Tube,One,,1.94,3.54,2.04,0.62,0.5,0.49,0.28,11.62,13.05,Margins,Entire,Reniform
Pop59_Ind1,reflexum,148,1.44,0.93,0.59,0.86,1.00,Abrupt,212,1.31,0.97,0.67,0.83,1.00,Abrupt,184,1.46,1.02,0.55,0.8,1.00,Abrupt,Intermediate,Prominent,Entire,At Tube,Zero,Flat,2.73,2.31,2.23,0.52,0.53,0.46,0.28,12.41,15.8,Margins,Entire,Reniform-Chordate
Pop59_Ind2,reflexum,226,1.37,0.9,0.6,0.87,1.00,Abrupt,255,1.16,0.94,0.62,0.89,1.00,Abrupt,247,1.51,1,0.62,0.95,1.00,Abrupt,Reflexed,Prominent,To Tube,At Tube,Two,Flat,1.86,2.29,2.17,0.58,0.42,0.36,0.26,10.31,11.93,Margins,Entire,Reniform-Chordate
Pop60_Ind1,reflexum,122,1.85,1.04,0.63,1.06,1.00,Abrupt,194,1.7,1.09,0.71,1.2,1.00,Abrupt,186,1.66,1.1,0.7,1.17,1.00,Abrupt,Flat,Prominent,Entire,At Tube,Zero,Flat,2.39,2.49,2.2,0.58,0.62,0.63,0.31,11.31,15.63,Even,Entire,Chordate
Pop60_Ind2,reflexum,206,1.55,1.18,0.72,1.1,1.00,Abrupt,208,1.31,1,0.72,0.87,0.98,Abrupt,,,,,,,,Reflexed,Prominent,Entire,At Tube,Two,Fluted,2.34,2.13,1.87,,0.53,0.59,0.29,10.11,13.09,Even,Entire,Reniform-Chordate
Pop61_Ind1,reflexum,185,1.44,1.08,0.56,0.92,1.00,Abrupt,171,1.35,1.09,0.81,1.08,1.00,Abrupt,187,1.39,1.14,0.69,1.06,1.00,Abrupt,Flat,Prominent,Entire,At Tube,Two,Fluted,2.77,2.94,2.03,0.63,0.6,0.68,0.4,12.21,16.13,Margins,Entire,Chordate
Pop62_Ind1,acuminatum,193,1.69,1.1,0.25,1.31,0.00,Tapering,218,1.8,1.1,0.21,1.42,0.00,Tapering,122,1.67,1.16,0.23,1.4,0.00,Tapering,Intermediate,Prominent,Entire,At Tube,Three,Flat,2.11,,2.03,0.46,0.52,0.5,0.33,13.19,15.51,Margins,Entire,Chordate
Pop62_Ind2,acuminatum,168,2.75,1.1,0.13,1.88,0.00,Tapering,201,3.05,1.06,0.1,1.9,0.14,Tapering,191,3.08,1.15,0.11,1.95,0.00,Tapering,Slight Reflex,Prominent,Entire,At Tube,Two,Flat,1.91,3.72,1.82,,0.47,0.46,0.27,12.5,15.35,Margins,Entire,Chordate
Pop63_Ind1,reflexum,245,1.63,0.94,0.56,1.12,1.00,Abrupt,251,1.54,1.03,0.48,1.04,1.00,Abrupt,,,,,,,,Reflexed,Tapering,Entire,At Tube,Three,Flat,2.1,2.96,2.01,0.68,0.57,0.6,0.31,12.41,15.11,Even,Entire,Reniform-Chordate
Pop63_Ind2,reflexum,256,1.64,0.93,0.58,1.1,1.00,Abrupt,260,1.65,0.98,0.65,0.95,1.00,Abrupt,269,1.83,0.99,0.55,1.14,1.00,Abrupt,Reflexed,Tapering,To Lobes,At Tube,Three,Fluted,2.3,3.47,1.93,0.58,0.53,0.57,0.26,12.9,16.16,Even,Entire,Chordate
Pop64_Ind1,reflexum,209,1.51,0.98,0.62,0.98,1.00,Abrupt,231,1.5,1.07,0.58,0.98,1.00,Abrupt,260,1.44,1.06,0.57,0.96,1.00,Abrupt,Reflexed,Prominent,Entire,At Tube,One,Flat,1.81,2.58,1.93,,0.52,0.54,0.32,8.65,10.17,Even,Entire,Reniform-Chordate
Pop65_Ind1,reflexum,247,1.08,0.9,0.67,0.8,1.00,Abrupt,261,1.24,0.86,0.64,0.86,1.00,Abrupt,256,1.09,0.94,0.64,0.79,1.00,Abrupt,Reflexed,Prominent,Entire,At Tube,Zero,Flat,1.55,2.28,1.44,0.47,0.37,0.42,0.22,9.58,11.83,Margins,Entire,Reniform-Chordate
Pop65_Ind2,reflexum,244,1.33,0.9,0.7,0.94,1.00,Abrupt,253,1.52,0.92,0.74,0.93,1.00,Abrupt,219,1.44,0.99,0.7,1.02,1.00,Abrupt,Reflexed,Prominent,Entire,At Tube,Zero,Flat,2.32,2.03,2.02,0.43,0.56,0.6,0.32,11.94,16.45,Margins,Entire,Chordate
Pop66_Ind1,reflexum,241,1.47,0.83,0.65,1.04,1.00,Abrupt,255,1.48,0.95,0.64,1,1.00,Abrupt,251,1.43,0.93,0.67,1.08,1.00,Abrupt,Reflexed,Prominent,Entire,At Tube,Three,Flat,2.01,2.37,1.7,,0.44,0.5,0.27,10.23,12.53,Margins,Entire,Chordate
Pop66_Ind2,reflexum,153,1.51,0.98,0.73,1.07,1.00,Abrupt,,,,,,,,191,1.61,1.1,0.68,1.22,1.00,Abrupt,Slight Incurve,Prominent,Entire,At Tube,Two,Flat,2.59,2.87,2.55,,0.6,0.66,0.32,11.49,17.6,Margins,Entire,Reniform-Chordate
Pop67_Ind1,reflexum,205,1.05,0.84,0.65,0.72,1.00,Abrupt,242,0.96,0.89,0.68,0.73,1.00,Abrupt,214,1.03,0.92,0.62,0.75,1.00,Abrupt,Reflexed,Prominent,Entire,At Tube,Zero,Flat,1.24,2.01,1.32,0.33,0.34,0.36,0.24,6.71,8.78,Even,Entire,Reniform
Pop68_Ind1,reflexum,184,1.2,0.94,0.74,0.82,1.00,Abrupt,266,1.21,0.98,0.66,0.9,1.00,Abrupt,237,1.27,1.02,0.68,0.87,1.00,Abrupt,Reflexed,Prominent,Entire,At Tube,One,Flat,1.81,2.46,1.52,0.56,0.46,0.48,0.3,9.43,10.95,Margins,Entire,Chordate
Pop68_Ind2,reflexum,224,1.14,0.92,0.68,0.93,1.00,Abrupt,236,1.15,1.01,0.75,0.86,1.00,Abrupt,245,1.15,0.94,0.62,0.93,1.00,Abrupt,Reflexed,Prominent,Entire,At Tube,Three,Flat,1.88,2.78,1.74,0.57,0.48,0.5,0.26,10.42,12.07,Even,Entire,Chordate
Pop69_Ind1,reflexum,238,1.46,0.99,0.59,0.94,1.00,Abrupt,250,1.47,0.96,0.57,0.88,1.00,Abrupt,173,1.34,0.92,0.66,0.82,1.00,Abrupt,Intermediate,Prominent,Entire,At Tube,Three,Flat,,,1.82,0.62,0.45,0.42,0.28,11.12,13.19,Margins,Entire,Reniform-Chordate
Pop70_Ind1,reflexum,252,1.49,0.98,0.74,0.96,1.00,Abrupt,246,1.6,1.14,0.63,1,1.00,Abrupt,249,1.53,1.04,0.56,0.98,1.00,Abrupt,Reflexed,Prominent,To Tube,At Tube,Zero,Flat,1.73,2.94,1.71,,0.4,0.41,0.29,9.32,11.23,Margins,Entire,Reniform-Chordate
Pop70_Ind2,reflexum,231,1.15,0.93,0.58,0.73,1.00,Abrupt,224,1.16,0.95,0.55,0.82,1.00,Abrupt,256,1.32,1.03,0.57,0.8,1.00,Abrupt,Reflexed,Prominent,To Tube,At Tube,Three,Flat,1.54,2.82,1.53,0.48,0.42,0.47,0.29,8.23,10.36,Even,Entire,Chordate
Pop71_Ind1,acuminatum,,,,,,,,254,1.92,1.07,0.31,0.94,0.55,Tapering,238,2.07,0.92,0.23,1.16,0.00,Tapering,Reflexed,Prominent,To Tube,At Tube,Three,Fluted,2.2,1.44,1.59,0.42,0.48,0.46,0.28,8.39,9.7,Margins,Entire,Chordate
Pop71_Ind2,acuminatum,157,2.08,1.09,0.21,1.14,0.14,Tapering,153,1.97,1.16,0.25,1.21,0.00,Tapering,149,2,1.09,0.22,1.12,0.09,Tapering,Slight Incurve,Prominent,Entire,At Tube,Three,Fluted,,,1.97,0.4,0.54,0.38,0.37,7.14,8.7,Margins,Entire,Chordate
Pop72_Ind1,canadense,290,2.01,1.12,0.18,1.1,0.28,Tapering,265,2.14,0.96,0.16,1.08,0.00,Tapering,234,2.12,1.02,0.31,1.17,0.12,Tapering,Reflexed,Tapering,To Lobes,One-Third,Three,Flat,1.4,3.02,1.43,0.51,0.34,0.45,0.29,10.19,11.87,Margins,Entire,Chordate
Pop72_Ind2,canadense,193,2.06,1.12,0.15,1.18,0.03,Tapering,263,1.91,1.1,0.19,1.05,0.62,Tapering,189,1.88,1.08,0.21,1.1,0.15,Tapering,Reflexed,Tapering,To Lobes,At Tube,Three,Flat,,,1.54,0.37,0.4,0.42,0.28,12.8,15.02,Margins,Entire,Reniform-Chordate
Pop73_Ind1,acuminatum,161,1.87,1.03,0.14,1.2,0.00,Tapering,192,2.04,1.06,0.22,1.31,0.14,Tapering,211,2.16,1.04,0.17,1.88,0.00,Tapering,Intermediate,Tapering,To Lobes,At Tube,Three,Flat,2.02,2.72,1.82,,0.47,0.5,0.3,9.95,12.05,Margins,Entire,Chordate
Pop73_Ind2,acuminatum,207,2.62,1.11,0.16,1.24,0.18,Tapering,170,2.36,1.19,0.15,1.44,0.00,Tapering,272,2.35,1.18,0.2,1.55,0.00,Tapering,Intermediate,Tapering,To Lobes,At Tube,Three,Flat,2.26,3.64,1.61,0.54,0.44,0.51,0.29,8.91,11.61,Margins,Entire,Chordate
Pop74_Ind1,canadense,265,2.01,0.92,0.15,1.1,0.31,Tapering,241,1.73,0.94,0.14,1.08,0.28,Tapering,245,1.85,1,0.22,1.18,0.69,Tapering,Reflexed,Tapering,To Lobes,At Tube,One,Flat,,,1.67,0.41,0.45,0.37,0.26,8.26,10.38,Margins,Entire,Chordate
Pop75_Ind1,acuminatum,226,2.43,1.1,0.16,1.2,0.00,Tapering,291,2.25,1.1,0.1,1.07,0.09,Tapering,266,2.21,1.12,0.11,1.21,0.38,Tapering,Reflexed,Tapering,To Lobes,At Tube,Three,Fluted,1.63,2.39,1.54,0.42,0.37,0.42,0.27,9.09,9.79,Margins,Entire,Chordate
Pop75_Ind2,acuminatum,,,,,,,,194,1.96,1.05,0.18,1.16,0.00,Tapering,296,1.95,0.94,0.18,1.01,0.17,Tapering,Reflexed,Tapering,To Lobes,At Tube,Three,Fluted,1.93,3.18,1.43,0.48,0.36,0.43,0.26,7.25,7.96,Margins,Entire,Chordate
Pop76_Ind1,acuminatum,251,2.13,0.97,0.14,1.14,0.00,Tapering,315,2.21,1.02,0.11,1.07,0.55,Tapering,251,2.34,0.93,0.09,1.1,0.36,Tapering,Reflexed,Tapering,To Lobes,At Tube,Three,Flat,1.29,2.95,1.37,0.43,0.33,0.4,0.27,6.92,7.5,Margins,Entire,Chordate
Pop76_Ind2,acuminatum,270,1.67,0.98,0.51,1.07,1.00,Intermediate,242,1.56,0.97,0.54,0.91,1.00,Intermediate,250,1.68,0.9,0.41,0.96,1.00,Intermediate,Reflexed,Tapering,To Lobes,At Tube,Three,Flat,1.85,,1.44,0.57,0.31,0.37,0.24,8.49,14.9,Even,Entire,Chordate
Pop77_Ind1,acuminatum,186,2.16,1,0.13,1.28,0.00,Tapering,217,2.11,0.98,0.14,1.18,0.24,Tapering,282,2.11,0.99,0.16,1.28,0.16,Tapering,Reflexed,Prominent,To Lobes,At Tube,Three,Flat,1.74,1.82,1.42,0.39,0.29,0.34,0.39,6.53,8.16,Margins,Entire,Chordate
Pop78_Ind1,acuminatum,271,2.2,1.03,0.14,1.12,0.00,Tapering,280,2.23,0.93,0.15,1.37,0.39,Tapering,261,2.16,1.02,0.22,1.21,0.41,Tapering,Reflexed,Tapering,To Lobes,At Tube,Three,Fluted,1.82,1.57,1.48,0.44,0.43,0.47,0.39,9.68,10.09,Margins,Entire,Chordate
