ID,Putative_Species,S1_Angle_deg,S1_Length_cm,S1_Width_cm,S1_MP_Width_cm,S1_Length_to_Caudate_Appendage_cm,S1_Inner_Outer_Ratio,S1_Tip_Shape,S2_Angle_deg,Sepal_2_Length_cm,S2_Width_cm,S2_MP_Width_cm,S2_Length_to_Caudate_Appendage_cm,S2_Inner_Outer_Ratio,S2_Tip_Shape,S3_Angle_deg,S3_Length_cm,S3_Width_cm,S3_MP_Width_cm,S3_Length_to_Caudate_Appendage_cm,S3_Inner_Outer_Ratio,S3_Tip_Shape,Overall_Sepal_Orientation,Calyx_Ad_Pub,Calyx_Ab_Pub,Tube_Color,Rudimentary_Petals,Style_Tube_Shape,Pedicle_Width_mm,Pedicle_Length_cm,Tube_Length,Stamen_Length_cm,Dist_to_Gyn_Center_cm,Gyn_Height_cm,Gyn_Width_mm,Avg_Leaf_Length_cm,Avg_Leaf_Width_cm,Adaxial_Leaf_Pubescence,Abaxial_Leaf_Pubescence,Leaf_Shape
Pop41_Ind2,reflexum,207,1.62,1.05,0.58,0.93,1.00,Abrupt,269,1.64,1,0.49,0.89,1.00,Abrupt,229,1.68,1.09,0.54,0.95,1.00,Abrupt,Reflexed,Prominent,Entire,At Tube,One,Fluted,2.18,4.08,2.31,0.42,0.51,0.52,0.31,10.92,13.75,Even,Entire,Reniform-Chordate
Pop41_Ind3,reflexum,170,1.32,1.24,0.74,0.88,1.00,Abrupt,98,1.57,1.13,0.75,0.97,1.00,Abrupt,237,1.66,1.22,0.68,1.1,1.00,Abrupt,Intermediate,Prominent,Entire,At Tube,Zero,Fluted,2.92,2.67,2.21,0.49,0.61,0.59,0.28,11.06,14.09,Margins,Entire,Reniform-Chordate
Pop42_Ind1,reflexum,267,1.62,0.92,0.49,1.05,1.00,Abrupt,233,1.26,1.02,0.77,0.98,1.00,Abrupt,244,1.55,0.95,0.64,0.99,1.00,Abrupt,Reflexed,Prominent,To Tube,At Tube,One,Fluted,2.29,4.27,2.09,0.44,0.57,0.59,0.27,9.5,12.76,Even,Entire,Reniform-Chordate
Pop42_Ind2,reflexum,246,1.58,0.9,0.53,1.09,1.00,Abrupt,264,1.61,0.88,0.52,1,1.00,Abrupt,255,1.59,0.85,0.52,1.06,1.00,Abrupt,Reflexed,Prominent,Entire,At Tube,Zero,Fluted,1.58,3.51,1.72,0.42,0.46,0.48,0.21,8.04,10.69,Even,Entire,Reniform-Chordate
Pop42_Ind3,reflexum,243,1.46,0.91,0.49,0.92,1.00,Abrupt,207,1.47,0.92,0.57,0.89,1.00,Abrupt,,,,,,,,Reflexed,Prominent,To Tube,At Tube,Zero,Fluted,1.69,3.53,1.93,0.54,0.53,0.54,0.29,8.36,11.36,Even,Entire,Chordate
Pop43_Ind1,reflexum,258,1.39,0.9,0.5,0.87,1.00,Abrupt,243,1.15,0.92,0.58,0.8,1.00,Abrupt,269,1.21,0.92,0.59,0.76,1.00,Abrupt,Reflexed,Prominent,Entire,At Tube,Zero,Flat,1.82,2.49,1.82,0.43,0.55,0.48,0.29,9.37,11.11,Even,Entire,Reniform-Chordate
Pop43_Ind2,reflexum,245,1.37,0.91,0.55,1.01,1.00,Abrupt,254,1.45,0.96,0.54,0.98,1.00,Abrupt,247,1.38,0.91,0.65,0.93,1.00,Abrupt,Reflexed,Prominent,To Tube,At Tube,Zero,Flat,2.33,2.86,2.13,0.15,0.5,0.49,0.27,10.29,12.59,Even,Entire,Chordate
Pop43_Ind3,reflexum,264,1.33,1.07,0.72,0.82,1.00,Abrupt,,,,,,,,237,1.21,1.15,0.83,0.87,1.00,Abrupt,Reflexed,Prominent,Entire,At Tube,Two,Flat,2.59,3.2,2.37,0.29,0.64,0.56,0.3,11.15,13.21,Margins,Entire,Chordate
Pop44_Ind1,acuminatum,118,2.08,1.06,0.14,1.18,0.19,Tapering,133,2,0.99,0.17,1.12,0.09,Tapering,165,2.14,1.02,0.15,1.23,0.30,Tapering,Slight Incurve,Prominent,Entire,At Tube,Three,Fluted,1.93,4.2,2.06,0.57,0.49,0.48,0.29,11.15,13.06,Margins,Entire,Chordate
Pop44_Ind2,acuminatum,100,2.73,1.12,0.18,1.54,0.00,Tapering,115,2.74,1.1,0.2,1.39,0.00,Tapering,81,3.04,1.05,0.17,1.41,0.10,Tapering,Incurved,Prominent,Entire,At Tube,Three,Fluted,2.01,3.54,2.13,0.6,0.51,0.55,0.35,12.99,14.76,Margins,Entire,Chordate
Pop44_Ind3,acuminatum,141,2.3,1.03,0.19,1.17,0.00,Tapering,125,2.44,0.97,0.19,1.31,0.00,Tapering,100,2.29,1,0.24,1.24,0.10,Tapering,Incurved,Sparse,To Tube,One-Third,Three,Fluted,1.78,4.52,1.99,0.34,0.45,0.45,0.29,10.66,12.7,Margins,Entire,Chordate
Pop45_Ind1,reflexum,203,2.36,1.17,0.53,1.38,0.89,Intermediate,221,2.43,1.13,0.6,1.35,0.96,Intermediate,208,2.58,1.2,0.32,1.42,0.47,Intermediate,Reflexed,Tapering,To Tube,One-Third,Zero,Fluted,3.01,4.22,2.31,0.62,0.61,0.68,0.44,14.45,16.77,Even,Entire,Reniform-Chordate
Pop45_Ind2,reflexum,231,1.84,1.1,0.35,1.18,0.81,Intermediate,215,1.95,1.11,0.42,1.24,0.81,Intermediate,250,2.03,1.02,0.49,1.15,0.80,Intermediate,Reflexed,Tapering,To Tube,At Tube,Zero,Fluted,2.12,3.69,2.09,0.61,0.58,0.63,0.39,10.58,13.08,Even,Entire,Chordate
Pop45_Ind3,reflexum,226,1.91,1.09,0.66,1.07,0.93,Intermediate,252,1.73,1.07,0.65,1.17,1.00,Intermediate,262,1.81,1.12,0.62,1.1,1.00,Intermediate,Reflexed,Prominent,To Tube,At Tube,One,Flat,2.61,5.18,2.24,0.71,0.56,0.62,0.34,11.59,14.72,Even,Entire,Chordate
Pop46_Ind1,reflexum,178,0.85,0.78,0.64,0.78,1.00,Abrupt,184,0.94,0.82,0.57,0.78,1.00,Abrupt,161,0.98,0.95,0.66,0.85,1.00,Abrupt,Flat,Prominent,Entire,At Tube,Zero,Flat,2.4,2.94,2.04,0.5,0.54,0.52,0.32,8.05,9.27,Margins,Entire,Chordate
Pop46_Ind2,reflexum,254,1.39,1.13,0.59,0.91,1.00,Abrupt,237,1.31,1.07,0.71,0.93,1.00,Abrupt,248,1.36,1.07,0.64,0.95,1.00,Abrupt,Reflexed,Prominent,To Tube,At Tube,One,Fluted,1.78,2.77,2.29,0.44,0.55,0.78,0.39,10.54,12.75,Margins,Entire,Chordate
